BioGRID_Interaction_ID	Entrez_Gene_Interactor_A	Entrez_Gene_Interactor_B	BioGRID_ID_Interactor_A	BioGRID_ID_Interactor_B	Systematic_Name_Interactor_A	Systematic_Name_Interactor_B	Official_Symbol_Interactor_A	Official_Symbol_Interactor_B	Synonyms_Interactor_A	Synonyms_Interactor_B	Experimental_System	Experimental_System_Type	Author	Pubmed_ID	Organism_Interactor_A	Organism_Interactor_B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source_Database
556439	2175	2178	108472	108475	-	-	FANCA	FANCE	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FACE|FAE	Affinity Capture-MS	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556440	2175	2188	108472	108483	-	-	FANCA	FANCF	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAF	Affinity Capture-MS	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556441	2175	641	108472	107110	-	-	FANCA	BLM	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	BS|RECQ2|RECQL2|RECQL3	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556442	2175	2189	108472	108484	-	-	FANCA	FANCG	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAG|XRCC9	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556443	2175	2176	108472	108473	-	RP11-80I15.2	FANCA	FANCC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FA3|FAC|FACC	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556444	2175	2178	108472	108475	-	-	FANCA	FANCE	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FACE|FAE	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556445	2175	2188	108472	108483	-	-	FANCA	FANCF	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAF	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556450	25913	6279	117417	112187	-	-	POT1	S100A8	CMM10|HPOT1	60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8	Affinity Capture-MS	physical	Giannone RJ (2010)	20811636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556453	25913	215	117417	106717	-	-	POT1	ABCD1	CMM10|HPOT1	ABC42|ALD|ALDP|AMN	Affinity Capture-MS	physical	Giannone RJ (2010)	20811636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556546	57016	31	121325	106549	-	-	AKR1B10	ACACA	AKR1B11|AKR1B12|ALDRLn|ARL-1|ARL1|HIS|HSI	ACAC|ACACAD|ACC|ACC1|ACCA	Affinity Capture-MS	physical	Ma J (2008)	18056116	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556547	57016	31	121325	106549	-	-	AKR1B10	ACACA	AKR1B11|AKR1B12|ALDRLn|ARL-1|ARL1|HIS|HSI	ACAC|ACACAD|ACC|ACC1|ACCA	Affinity Capture-Western	physical	Ma J (2008)	18056116	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556575	2175	2176	108472	108473	-	RP11-80I15.2	FANCA	FANCC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FA3|FAC|FACC	Affinity Capture-Western	physical	Adachi D (2002)	12444097	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556576	2175	2188	108472	108483	-	-	FANCA	FANCF	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAF	Affinity Capture-Western	physical	Adachi D (2002)	12444097	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556577	2175	2189	108472	108484	-	-	FANCA	FANCG	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAG|XRCC9	Affinity Capture-Western	physical	Adachi D (2002)	12444097	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
556589	9798	51343	115141	119489	-	-	IST1	FZR1	OLC1	CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1	Affinity Capture-Western	physical	Zhang X (2011)	21439932	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557126	2175	6117	108472	112037	-	-	FANCA	RPA1	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557127	2175	7156	108472	113009	-	-	FANCA	TOP3A	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	TOP3|ZGRF7	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557129	7156	2175	113009	108472	-	-	TOP3A	FANCA	TOP3|ZGRF7	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557132	6117	2175	112037	108472	-	-	RPA1	FANCA	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557135	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Meetei AR (2003)	12724401	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557285	2175	3551	108472	109767	-	-	FANCA	IKBKB	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	Affinity Capture-Western	physical	Otsuki T (2002)	12210728	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557303	4170	578	110338	107054	-	-	MCL1	BAK1	BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT	BAK|BAK-LIKE|BCL2L7|CDN1	Reconstituted Complex	physical	Warr MR (2011)	21613222	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557391	55929	71	121004	106586	RP5-891H21.2	-	DMAP1	ACTG1	DNMAP1|DNMTAP1|EAF2|MEAF2|SWC4	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	Affinity Capture-MS	physical	Kim J (2010)	20946988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557400	10524	72	115779	106587	-	-	KAT5	ACTG2	ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	Affinity Capture-MS	physical	Kim J (2010)	20946988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557402	10524	71	115779	106586	-	-	KAT5	ACTG1	ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	Affinity Capture-MS	physical	Kim J (2010)	20946988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557465	3014	675	109268	107142	-	RP11-298P3.4	H2AFX	BRCA2	H2A.X|H2A/X|H2AX	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	Reconstituted Complex	physical	Krum SA (2010)	20936109	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
557545	472	2177	106962	108474	-	-	ATM	FANCD2	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	FA-D2|FA4|FACD|FAD|FAD2|FANCD	Biochemical Activity	physical	Taniguchi T (2002)	12086603	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
557548	207	2175	106710	108472	-	-	AKT1	FANCA	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Biochemical Activity	physical	Otsuki T (2002)	11855836	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
557549	2175	207	108472	106710	-	-	FANCA	AKT1	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	Affinity Capture-Western	physical	Otsuki T (2002)	11855836	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558107	2175	2188	108472	108483	-	-	FANCA	FANCF	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAF	Affinity Capture-Western	physical	Siddique MA (2001)	11750104	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558108	2176	2175	108473	108472	RP11-80I15.2	-	FANCC	FANCA	FA3|FAC|FACC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Siddique MA (2001)	11750104	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558125	3014	293	109268	106790	-	RP11-261P4.6	H2AFX	SLC25A6	H2A.X|H2A/X|H2AX	2|3|AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558133	3014	9131	109268	114579	-	RP3-438D16.2	H2AFX	AIFM1	H2A.X|H2A/X|H2AX	AIF|CMT2D|CMTX4|COWCK|COXPD6|NADMR|NAMSD|PDCD8	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558152	3014	6275	109268	112183	-	-	H2AFX	S100A4	H2A.X|H2A/X|H2AX	18A2|42A|CAPL|FSP1|MTS1|P9KA|PEL98	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558202	3014	80142	109268	123135	-	RP11-395P17.2	H2AFX	PTGES2	H2A.X|H2A/X|H2AX	C9orf15|GBF-1|GBF1|PGES2|mPGES-2	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558203	3014	3028	109268	109278	-	RP3-339A18.2	H2AFX	HSD17B10	H2A.X|H2A/X|H2AX	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558215	3014	3313	109268	109545	-	-	H2AFX	HSPA9	H2A.X|H2A/X|H2AX	CRP40|CSA|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558217	3014	26275	109268	117658	-	-	H2AFX	HIBCH	H2A.X|H2A/X|H2AX	HIBYLCOAH	Affinity Capture-MS	physical	Yang X (2010)	20000738	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
558255	57154	4086	121411	110261	-	-	SMURF1	SMAD1	-	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Biochemical Activity	physical	Tian M (2011)	21708152	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
558257	57154	4086	121411	110261	-	-	SMURF1	SMAD1	-	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Affinity Capture-Western	physical	Tian M (2011)	21708152	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558259	57154	4086	121411	110261	-	-	SMURF1	SMAD1	-	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Reconstituted Complex	physical	Tian M (2011)	21708152	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558451	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Nakanishi K (2001)	11438206	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558549	25897	6647	117405	112530	-	-	RNF19A	SOD1	RNF19	ALS|ALS1|HEL-S-44|IPOA|SOD|hSod1|homodimer	Affinity Capture-Western	physical	Ishigaki S (2007)	17157513	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558550	10273	6647	115563	112530	LA16c-313D11.6	-	STUB1	SOD1	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	ALS|ALS1|HEL-S-44|IPOA|SOD|hSod1|homodimer	Affinity Capture-Western	physical	Ishigaki S (2007)	17157513	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558604	2175	2189	108472	108484	-	-	FANCA	FANCG	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAG|XRCC9	Affinity Capture-Western	physical	Qiao F (2001)	11297559	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558605	2175	2176	108472	108473	-	RP11-80I15.2	FANCA	FANCC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FA3|FAC|FACC	Affinity Capture-Western	physical	Qiao F (2001)	11297559	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558606	2177	672	108474	107140	-	-	FANCD2	BRCA1	FA-D2|FA4|FACD|FAD|FAD2|FANCD	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	Affinity Capture-Western	physical	Garcia-Higuera I (2001)	11239454	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558607	672	2177	107140	108474	-	-	BRCA1	FANCD2	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	FA-D2|FA4|FACD|FAD|FAD2|FANCD	Affinity Capture-Western	physical	Garcia-Higuera I (2001)	11239454	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558608	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Futaki M (2001)	11181053	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558623	2176	2175	108473	108472	RP11-80I15.2	-	FANCC	FANCA	FA3|FAC|FACC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Xie Y (2000)	11167740	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558624	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Xie Y (2000)	11167740	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558625	2175	2189	108472	108484	-	-	FANCA	FANCG	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAG|XRCC9	Affinity Capture-Western	physical	Ren J (2001)	11161829	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558697	1441	51343	107828	119489	-	-	CSF3R	FZR1	CD114|GCSFR	CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1	Affinity Capture-Western	physical	Erkeland SJ (2007)	17001306	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558873	2175	2188	108472	108483	-	-	FANCA	FANCF	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAF	Affinity Capture-Western	physical	de Winter JP (2000)	11063725	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558876	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	de Winter JP (2000)	11063725	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558909	4086	57154	110261	121411	-	-	SMAD1	SMURF1	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	-	Affinity Capture-Western	physical	Sapkota G (2007)	17289590	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558910	4086	8021	110261	113717	-	RP11-544A12.7	SMAD1	NUP214	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	CAIN|CAN|D9S46E|N214|p250	Affinity Capture-Western	physical	Sapkota G (2007)	17289590	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558911	4086	2309	110261	108598	-	-	SMAD1	FOXO3	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	Affinity Capture-Western	physical	Sapkota G (2007)	17289590	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558912	57154	4086	121411	110261	-	-	SMURF1	SMAD1	-	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Affinity Capture-Western	physical	Sapkota G (2007)	17289590	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558924	51176	4602	119354	110687	-	RP1-32B1.1	LEF1	MYB	LEF-1|TCF10|TCF1ALPHA|TCF7L3	Cmyb|c-myb|c-myb_CDS|efg	Affinity Capture-Western	physical	Zhou F (2011)	21795403	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558949	2074	1161	108386	107581	-	-	ERCC6	ERCC8	ARMD5|CKN2|COFS|COFS1|CSB|RAD26|UVSS1	CKN1|CSA|UVSS2	Affinity Capture-Western	physical	Anindya R (2010)	20541997	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558971	4086	10273	110261	115563	-	LA16c-313D11.6	SMAD1	STUB1	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Wang L (2011)	21454478	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558974	4086	10273	110261	115563	-	LA16c-313D11.6	SMAD1	STUB1	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Co-crystal Structure	physical	Wang L (2011)	21454478	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558983	4089	4086	110264	110261	-	-	SMAD4	SMAD1	DPC4|JIP|MADH4|MYHRS	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Co-fractionation	physical	Wang L (2011)	21454478	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558992	867	72	107315	106587	-	-	CBL	ACTG2	C-CBL|CBL2|FRA11B|NSLL|RNF55	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	Affinity Capture-MS	physical	Valiya Veettil M (2011)	21203488	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559043	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Affinity Capture-Western	physical	Kuang Y (2000)	10961856	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559044	2175	2189	108472	108484	-	-	FANCA	FANCG	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAG|XRCC9	Affinity Capture-Western	physical	Kuang Y (2000)	10961856	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559045	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Two-hybrid	physical	Kuang Y (2000)	10961856	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559046	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Protein-peptide	physical	Kuang Y (2000)	10961856	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559047	2175	2176	108472	108473	-	RP11-80I15.2	FANCA	FANCC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FA3|FAC|FACC	Affinity Capture-Western	physical	Kuang Y (2000)	10961856	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559204	2033	4086	108347	110261	RP1-85F18.1	-	EP300	SMAD1	KAT3B|RSTS2|p300	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Affinity Capture-Western	physical	Jun JH (2010)	20851880	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559205	860	4086	107308	110261	RP1-166H4.1	-	RUNX2	SMAD1	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Affinity Capture-Western	physical	Jun JH (2010)	20851880	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559221	2175	27131	108472	118022	-	RP11-504H3.2	FANCA	SNX5	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	-	Affinity Capture-Western	physical	Otsuki T (1999)	10600472	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559420	54332	51024	119934	119230	-	CGI-135	GDAP1	FIS1	CMT4|CMT4A|CMTRIA	TTC11	Affinity Capture-Western	physical	Estela A (2011)	21890626	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559681	2189	2175	108484	108472	-	-	FANCG	FANCA	FAG|XRCC9	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Reconstituted Complex	physical	Garcia-Higuera I (1999)	10373536	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559689	2099	7799	108403	113575	RP1-130E4.1	RP5-1177E19.1	ESR1	PRDM2	ER|ESR|ESRA|ESTRR|Era|NR3A1	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	Affinity Capture-Western	physical	Rossi V (2009)	19746436	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559690	2099	2100	108403	108404	RP1-130E4.1	-	ESR1	ESR2	ER|ESR|ESRA|ESTRR|Era|NR3A1	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2	Affinity Capture-Western	physical	Rossi V (2009)	19746436	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559691	2175	2176	108472	108473	-	RP11-80I15.2	FANCA	FANCC	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FA3|FAC|FACC	Affinity Capture-Western	physical	Kupfer G (1999)	10210316	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559876	10456	3313	115719	109545	RP11-137P24.1	-	HAX1	HSPA9	HCLSBP1|HS1BP1|SCN3	CRP40|CSA|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74	Affinity Capture-MS	physical	Kang YJ (2010)	20171186	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
560047	54899	345651	120245	131362	-	-	PXK	ACTBL2	MONaKA	ACT	Affinity Capture-Western	physical	Takeuchi H (2010)	20086096	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
560411	9817	4780	115156	110852	-	-	KEAP1	NFE2L2	INrf2|KLHL19	NRF2	Affinity Capture-Western	physical	Ichikawa T (2009)	20027226	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
560940	7316	3030	113164	109280	-	-	UBC	HADHA	HMG20	ECHA|GBP|HADH|LCEH|LCHAD|MTPA|TP-ALPHA	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
560958	7316	1329	113164	107722	-	-	UBC	COX5B	HMG20	COXVB	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
560992	7316	9255	113164	114679	-	-	UBC	AIMP1	HMG20	EMAP2|EMAPII|HLD3|SCYE1|p43	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
561120	7316	3032	113164	109282	-	MSTP029	UBC	HADHB	HMG20	ECHB|MTPB|TP-BETA	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
561135	7316	7284	113164	113135	-	-	UBC	TUFM	HMG20	COXPD4|EF-TuMT|EFTU|P43	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
561136	7316	539	113164	107021	-	-	UBC	ATP5O	HMG20	ATPO|OSCP	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
561157	7316	708	113164	107169	-	-	UBC	C1QBP	HMG20	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
561165	7316	498	113164	106987	-	-	UBC	ATP5A1	HMG20	ATP5A|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
561223	9320	1029	114731	107463	-	-	TRIP12	CDKN2A	TRIP-12|ULF	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	Affinity Capture-Western	physical	Chen D (2010)	20208519	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561224	1029	9320	107463	114731	-	-	CDKN2A	TRIP12	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	TRIP-12|ULF	Affinity Capture-Western	physical	Chen D (2010)	20208519	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561225	1029	9320	107463	114731	-	-	CDKN2A	TRIP12	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	TRIP-12|ULF	Reconstituted Complex	physical	Chen D (2010)	20208519	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561262	4087	2099	110262	108403	-	RP1-130E4.1	SMAD2	ESR1	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	ER|ESR|ESRA|ESTRR|Era|NR3A1	Affinity Capture-Western	physical	Ito I (2010)	20207742	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561263	4088	2099	110263	108403	-	RP1-130E4.1	SMAD3	ESR1	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	ER|ESR|ESRA|ESTRR|Era|NR3A1	Affinity Capture-Western	physical	Ito I (2010)	20207742	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561264	57154	2099	121411	108403	-	RP1-130E4.1	SMURF1	ESR1	-	ER|ESR|ESRA|ESTRR|Era|NR3A1	Affinity Capture-Western	physical	Ito I (2010)	20207742	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561265	2099	4087	108403	110262	RP1-130E4.1	-	ESR1	SMAD2	ER|ESR|ESRA|ESTRR|Era|NR3A1	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	Affinity Capture-Western	physical	Ito I (2010)	20207742	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
